Neighborhood,City,State,med_2011,med_2014
Northeast Dallas,Dallas,TX,825.0,985.0
Paradise,Las Vegas,NV,900.0,1100.0
Maryvale,Phoenix,AZ,795.0,850.0
Upper West Side,New York,NY,2795.0,3300.0
South Los Angeles,Los Angeles,CA,1150.0,1400.0
Sherman Oaks,Los Angeles,CA,1399.0,1450.0
Upper East Side,New York,NY,2250.0,2700.0
Sunrise Manor,Las Vegas,NV,800.0,895.0
East New York,New York,NY,1350.0,1500.0
Southeast Los Angeles,Los Angeles,CA,1200.0,1300.0
Spring Valley,Las Vegas,NV,1029.0,1150.0
Deer Valley,Phoenix,AZ,899.0,1100.0
Astoria,New York,NY,1550.0,2143.0
Paradise Valley,Phoenix,AZ,1000.0,1150.0
North Mountain,Phoenix,AZ,750.0,850.0
Washington Heights,New York,NY,1395.0,1750.0
Far North,Dallas,TX,762.0,1050.0
Hollywood,Los Angeles,CA,1600.0,1750.0
Williamsburg,New York,NY,2200.0,2900.0
Bedford Stuyvesant,New York,NY,1500.0,2150.0
Camelback East,Phoenix,AZ,886.0,985.0
Flatbush,New York,NY,1275.0,1675.0
East Side,El Paso,TX,700.0,975.0
Southeast Dallas,Dallas,TX,950.0,950.0
Crown Heights,New York,NY,1500.0,2100.0
Alahambra,Phoenix,AZ,700.0,740.0
Jamaica,New York,NY,1400.0,1545.0
Roosevelt,Fresno,CA,715.0,695.0
Williamsbridge,New York,NY,1200.0,1200.0
North Scottsdale,Scottsdale,AZ,1800.0,1750.0
East Harlem,New York,NY,1975.0,2500.0
East San Jose,San Jose,CA,1545.0,2300.0
East Flatbush,New York,NY,1250.0,1700.0
Harlem,New York,NY,1600.0,1900.0
Bushwick,New York,NY,1575.0,2300.0
South Mountain,Phoenix,AZ,895.0,995.0
Corona,New York,NY,1400.0,1500.0
Enterprise,Las Vegas,NV,1200.0,1200.0
Concourse,New York,NY,1150.0,1350.0
East Memphis-Colonial-Yorkshire,Memphis,TN,795.0,725.0
