Neighborhood,City,State,med_2011,med_2014
South Los Angeles,Los Angeles,CA,157300,251000.0
Sherman Oaks,Los Angeles,CA,250100,300300.0
Sunrise Manor,Las Vegas,NV,39000,47700.0
Southeast Los Angeles,Los Angeles,CA,130200,209400.0
Deer Valley,Phoenix,AZ,51900,72300.0
Far North,Dallas,TX,62000,68000.0
Hollywood,Los Angeles,CA,336600,404200.0
Williamsburg,New York,NY,484700,718600.0
Southeast Dallas,Dallas,TX,36600,43600.0
Roosevelt,Fresno,CA,46200,51200.0
Enterprise,Las Vegas,NV,88700,101900.0
East Memphis-Colonial-Yorkshire,Memphis,TN,53100,50000.0
Central City,Corpus Christi,TX,57000,53200.0
Bullard,Fresno,CA,62900,74800.0
Mid City,Los Angeles,CA,253000,377000.0
West San Jose,San Jose,CA,294000,380600.0
North Long Beach,Long Beach,CA,143100,199100.0
Sun Valley,Los Angeles,CA,186800,265900.0
South Scottsdale,Scottsdale,AZ,70900,114100.0
Canoga Park,Los Angeles,CA,137000,178900.0
Sylmar,Los Angeles,CA,195500,241400.0
Downtown,San Jose,CA,306400,421900.0
Pacoima,Los Angeles,CA,156800,208000.0
San Pedro,Los Angeles,CA,254000,255200.0
Willow Glen,San Jose,CA,340100,391200.0
West Anaheim,Anaheim,CA,159600,206900.0
Blossom Valley,San Jose,CA,221800,303200.0
West Rogers Park,Chicago,IL,83800,67700.0
Mira Mesa,San Diego,CA,121300,168100.0
Midtown,Memphis,TN,50100,59900.0
Cambrian Park,San Jose,CA,217100,322000.0
Princess Anne,Virginia Beach,VA,167300,144200.0
South Dorchester,Boston,MA,151600,185100.0
Roxbury,Boston,MA,195500,225900.0
Southeast Colorado Springs,Colorado Springs,CO,70700,77500.0
East Colorado Springs,Colorado Springs,CO,96900,104100.0
Green Run,Virginia Beach,VA,106100,118200.0
Winnetka Heights,Dallas,TX,52000,54800.0
Wilmington,Los Angeles,CA,194900,255700.0
Mission,San Francisco,CA,499800,654300.0
Northeast Colorado Springs,Colorado Springs,CO,77100,79700.0
Central Colorado Springs,Colorado Springs,CO,97400,100600.0
Gramercy,New York,NY,712000,800800.0
Fresno High Roeding,Fresno,CA,55200,71500.0
Rogers Park,Chicago,IL,110400,85200.0
Downtown,Memphis,TN,127400,126200.0
Kempsville,Virginia Beach,VA,101400,126700.0
Little Havana,Miami,FL,57300,92700.0
Lake Highlands,Dallas,TX,32200,37600.0
Lake View,Chicago,IL,175100,170600.0
Valencia,Santa Clarita,CA,176500,216000.0
Greater Uptown,Houston,TX,115900,124700.0
Highland Park,Los Angeles,CA,256300,379700.0
University City,San Diego,CA,192800,242200.0
Oak Lawn,Dallas,TX,114000,125200.0
Rancho Penasquitos,San Diego,CA,132700,172800.0
Winnetka,Los Angeles,CA,126200,162400.0
